Company Name,BAN,Substance Abuse,LCSW,LPC,MFT,LMSW,PLPC,Psychiatric Nurse Practitioner,Psychiatrist,Psychologist,Alcohol and Substance Abuse,Anger Management,Child/Adolescent,Domestic Violence,Faith Based,Family/Marriage,General Mental Health,Post Traumatic Stress,Sexual Assault,Suicide Prevention,Traumatic Brain Injury,Website,Phone Number,Zip Code,Country ,TRICARE,Military Culture,Admin Notes,Location 1,Suite No.
Abundant Life Counseling Center,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,8167183080,64081,United States,No,"Not yet, but I would like to work with the military community",,"414 SW Persels Rd
Lee's Summit, Missouri 64081
(38.896309, -94.381906)",
"Accessing Change, Inc.",No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,http://www.accessingchange.com,8165824684,64158,United States,Yes,"Not yet, but I would like to work with the military community",,"9601 NE Barry Road
Kansas City, Missouri 64158
(39.244622, -94.462181)",Suite 220
"Adriatik Likcani, MFT",No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,http://www.recoverylighthouse.org,6604292222,65301,United States,No,"Not yet, but I would like to work with the military community",,"417 West Pettis
Sedalia, Missouri 65301
(38.713412, -93.230241)",
Alford Counseling,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,,6605826470,64468,United States,No,"Not yet, but I would like to work with the military community",,"106 West Edwards
Maryville, Missouri 64468
(40.342166, -94.87318)",
"Alicia Ozenberger, LPC",No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,,5739901112,65010,United States,No,"Not yet, but I would like to work with the military community",,"305 E. Broadway
Ashland, Missouri 65010
(38.774563, -92.258237)",
"A Life's Journey, LLC",No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,,8166954515,64110,United States,No,"Not yet, but I would like to work with the military community",,"1734 E 63rd
Kansas City, Missouri 64110
(39.012869, -94.564765)",Suite 504
Alliance Mental Health,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,,4173215055,64772,United States,No,"Not yet, but I would like to work with the military community",,"100 South Prewitt
Nevada, Missouri 64772
(37.838699, -94.375685)",
Alpha Omega Delta,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,http://alphaomegadelta.net/,4178812444,65804,United States,No,"Not yet, but I would like to work with the military community",,"2200 E Sunshine
Springfield, Missouri 65804
(37.1811006, -93.251459)",Suite 203
Alternatives,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,http://missourialternatives.com,4178837227,65810,United States,No,"Not yet, but I would like to work with the military community",,"5337 South Campbell Ave
Springfield, Missouri 65810
(37.117444, -93.296726)",Suite F
Amanda Luckett Murphy Hopewell Center,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,http://www.hopewellcenter.com/,3145311770,63115,United States,No,"Not yet, but I would like to work with the military community",,"4411 North Newstead Ave
St. Louis, Missouri 63115
(38.678389, -90.230337)",
Amanda Luckett Murphy Hopewell Center,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,http://www.hopewellcenter.com/,3145311770,63104,United States,No,"Not yet, but I would like to work with the military community",,"1504 South Grand Blvd
St. Louis, Missouri 63104
(38.620555, -90.238533)",
